Node,Betweenness Centrality,ID,Ideology,Decade,In_PIRUS
4831,0.0,4831,Other,1980s,No
4461,0.0,4461,White Supremacist/Xenophobic,1960s,Yes
5035,0.0,5035,White Supremacist/Xenophobic,1960s,Yes
4826,0.0,4826,Other,1980s,No
4816,0.0,4816,Other,1980s,No
3604,0.0,3604,White Supremacist/Xenophobic,2000s,Yes
4825,0.0,4825,Other,1980s,No
4813,0.0,4813,Other,1980s,No
3702,0.0,3702,White Supremacist/Xenophobic,2000s,Yes
4817,0.0,4817,Other,1980s,No
4815,0.0,4815,Other,1980s,No
6412,0.0,6412,Jihadist,2010s,Yes
4829,0.0,4829,Other,1980s,No
10001,0.0,10001,Anti-Abortion,2020s,Yes
4819,0.0,4819,Other,1980s,No
4830,0.0,4830,Other,1980s,No
